ABCA13_S,ABCA13_E,ABCA13_M,ADAMTS20_S,ADAMTS20_E,ADAMTS20_M,ATP13A4_S,ATP13A4_E,ATP13A4_M,BEST2_S,BEST2_E,BEST2_M,CCDC67_S,CCDC67_E,CCDC67_M,CDH19_S,CDH19_E,CDH19_M,CDKN2A_S,CDKN2A_E,CDKN2A_M,CNTN5_S,CNTN5_E,CNTN5_M,CNTNAP5_S,CNTNAP5_E,CNTNAP5_M,COL11A1_S,COL11A1_E,COL11A1_M,CPNE6_S,CPNE6_E,CPNE6_M,CR2_S,CR2_E,CR2_M,CSMD1_S,CSMD1_E,CSMD1_M,CSMD3_S,CSMD3_E,CSMD3_M,DNAH11_S,DNAH11_E,DNAH11_M,DSCAM_S,DSCAM_E,DSCAM_M,DUSP27_S,DUSP27_E,DUSP27_M,ERBB4_S,ERBB4_E,ERBB4_M,ERN2_S,ERN2_E,ERN2_M,FLG_S,FLG_E,FLG_M,FREM2_S,FREM2_E,FREM2_M,FSTL5_S,FSTL5_E,FSTL5_M,GABRB3_S,GABRB3_E,GABRB3_M,GALNTL6_S,GALNTL6_E,GALNTL6_M,HFM1_S,HFM1_E,HFM1_M,KRT1_S,KRT1_E,KRT1_M,KRT24_S,KRT24_E,KRT24_M,LCE2C_S,LCE2C_E,LCE2C_M,LCT_S,LCT_E,LCT_M,LINGO2_S,LINGO2_E,LINGO2_M,LPA_S,LPA_E,LPA_M,LPPR1_S,LPPR1_E,LPPR1_M,LRAT_S,LRAT_E,LRAT_M,LRP1B_S,LRP1B_E,LRP1B_M,LRRTM4_S,LRRTM4_E,LRRTM4_M,MAB21L2_S,MAB21L2_E,MAB21L2_M,MC5R_S,MC5R_E,MC5R_M,MRGPRX4_S,MRGPRX4_E,MRGPRX4_M,MUC16_S,MUC16_E,MUC16_M,MUC4_S,MUC4_E,MUC4_M,MYBPC2_S,MYBPC2_E,MYBPC2_M,MYH13_S,MYH13_E,MYH13_M,MYH6_S,MYH6_E,MYH6_M,MYH7_S,MYH7_E,MYH7_M,MYO3A_S,MYO3A_E,MYO3A_M,NEB_S,NEB_E,NEB_M,NELL1_S,NELL1_E,NELL1_M,NPFFR2_S,NPFFR2_E,NPFFR2_M,NTSR2_S,NTSR2_E,NTSR2_M,PCDH10_S,PCDH10_E,PCDH10_M,PCDHA10_S,PCDHA10_E,PCDHA10_M,PCDHA12_S,PCDHA12_E,PCDHA12_M,PCLO_S,PCLO_E,PCLO_M,PKHD1L1_S,PKHD1L1_E,PKHD1L1_M,PTPRT_S,PTPRT_E,PTPRT_M,RBP3_S,RBP3_E,RBP3_M,RP1_S,RP1_E,RP1_M,RYR2_S,RYR2_E,RYR2_M,TDRD5_S,TDRD5_E,TDRD5_M,TTN_S,TTN_E,TTN_M,TUBA3C_S,TUBA3C_E,TUBA3C_M,UGT2A1_S,UGT2A1_E,UGT2A1_M,ZIC1_S,ZIC1_E,ZIC1_M,Survival
0,6.70140211856663,0.84142083633,0,-1.90616942836486,0.540322083976,0,8.34910028614968,0.598935229456,0,0,0.398003786811,0,0,0.509355478255,0,1.09410091643887,0.834777871908,0,5.5859239769586,0.151436088335,0,0,0.499549262285,0,0,0.560268393001,0,7.66012571130963,0.406257742747,0,0,0.660969911774,0,1.90141722091169,0.295198836384,0,-1.90616942836486,0.676297189761,1,3.5859239769586,0.479480998825,0,0.436055206028553,0.55415331509,0,6.69398449694272,0.640160959386,0,-0.905899083561133,0.671045317432,0,0,0.497886106768,0,-0.905899083561133,0.557381008574,0,4.85322720246065,0.820974733253,0,-0.905899083561133,0.466486028794,0,0,0.509741345284,0,2.34198574722862,0.654168207701,0,0,0.433508177255,0,0,0.367922197096,0,11.3225896104868,0.697257723166,0,4.79450944353407,0.592715587363,0,4.67903525860652,0.71060159704,0,-1.90616942836486,0.832402492572,0,0,0.746173712443,0,-0.905899083561133,0.610079859157,0,0,0.477537991519,0,3.82199586893936,0.348022127718,0,0.0941009164388665,0.535579525599,0,0,0.734784254609,0,5.773550687099,0.834185259124,0,0,0.639039163154,0,0.679063417160023,0.711761542856,1,6.29864182124339,0.771958684229,0,4.55350181662691,0.678759778535,0,-0.905899083561133,0.316533400033,0,0.0941009164388665,0.551068604475,0,0,0.579105312515,0,0,0.662430111747,0,-1.90616942836486,0.550256110233,0,2.8489583827924,0.776450869346,0,0.901417220911691,0.500755897531,0,0,0.605209232663,0,0,0.482577799531,0,-0.905899083561133,0.415687042644,0,0.174789893047815,0.570833009801,0,0,0.535149981692,0,-0.32102669214583,0.526890068056,0,1.09410091643887,0.591279796338,1,1.09410091643887,0.474779151853,0,-1.90616942836486,0.733867374649,0,2.67904089036119,0.837739731142,0,3.73792466751184,0.639052804921,0,0,0.539054580088,0,6.53140797466802,0.806968483944,0,0,0.840464644561,0,0,0.847327692074,0,0,0.538889079577,0
0,8.18224039150188,0.842297452608,0,4.82994086676798,0.508331236503,0,2.79892146952679,0.554048446235,0,-1.72451610733271,0.370561720855,0,0,0.356410103099,0,1.4452499632319,0.679944070328,0,6.08913158312364,0.110985009863,0,-0.724754510215332,0.342274087475,0,0,0.482183807922,0,6.84899717892911,0.308832447394,0,0,0.593123022043,0,2.27533489548239,0.331813724022,1,8.3548347174312,0.395289671776,0,-1.72451610733271,0.302711201596,1,0.300416627836874,0.429801271279,0,-0.724754510215332,0.390198558575,0,1.97577690600442,0.627789324489,0,0,0.415630806185,0,1.08270258933025,0.491510792783,1,5.56997101931784,0.540990690798,1,0.860287462510741,0.309005484584,0,6.12083919899698,0.418402165608,0,0.59731663112903,0.43025583855,0,0,0.286688396574,0,0,0.0607648976992,0,8.34949134157908,0.576354297994,0,-1.72451610733271,0.533293405491,0,0,0.553251162324,0,2.18224734497433,0.838796500722,0,1.4452499632319,0.53617634669,0,0,0.585822951651,0,4.90470566343065,0.38140870075,0,1.27536469615044,0.257386486834,0,2.362806501699,0.508959033993,1,-1.72451610733271,0.496622404028,0,3.44527645292739,0.873477732197,0,0,0.407976584724,0,6.17016743398841,0.602214895796,0,3.362806501699,0.504529372188,0,8.94246113636484,0.623636034131,0,1.27536469615044,0.257237854011,1,0,0.426960009737,0,0,0.472939988333,1,-0.139712537489259,0.498332333115,1,0.59731663112903,0.312872232564,0,3.48480839676531,0.813936050047,0,4.00326940704118,0.297792622206,0,3.27534979589336,0.413334265363,0,0,0.434254594534,0,4.15798956212702,0.194465961498,1,0.174534254694902,0.324330011128,0,0.574053054041764,0.295865502309,0,6.70997845417551,0.396232710351,0,1.08270258933025,0.43402381063,0,0.275364696150436,0.116630413736,0,2.362806501699,0.67387757707,0,1.59726895055261,0.781548120717,0,3.13333336004175,0.573284577695,0,8.34143876395807,0.447953055796,1,4.8899115413325,0.808849436494,0,0,0.736881086232,0,2.08270258933025,0.784477149353,0,1.59726895055261,0.552442211234,1
0,10.9678803676858,0.8361450438,0,-1.62994734428409,0.505346667088,0,8.36865094203641,0.403479891053,0,-1.62994734428409,0.314706244834,0,4.9399176643651,0.284677233504,0,1.95501515643707,0.449331757551,0,10.6888858293151,0.131034465101,0,4.55988333124832,0.327930642538,0,2.07049237385701,0.4125175851,0,4.34733966676304,0.329095767343,0,1.37005265571591,0.548988671557,0,4.92465100771485,0.159472446591,0,4.27695069324809,0.598797776233,0,0,0.311625636777,0,6.33035223479163,0.312085690348,0,0.955015156437071,0.455244550035,0,0,0.468139175959,0,2.6179801691595,0.227229052757,0,7.729810371569,0.41744180752,0,6.81316935880206,0.620058091509,0,2.17740757777352,0.295442051468,0,0,0.253442401994,0,7.68973246315617,0.543274534985,0,0,0.315016348759,0,-1.62994734428409,0.0770085302498,0,5.25270327313538,0.557907519559,0,6.736382988422,0.422001636197,0,0,0.392964085279,0,4.72761010564776,0.762925709347,1,-1.62994734428409,0.729303358851,0,-1.62994734428409,0.471191872193,0,0.370052655715914,0.281903789124,0,0.370052655715914,0.256778037583,0,4.70990817114027,0.42208025959,0,-1.62994734428409,0.466217633648,0,0,0.843514790434,0,-0.629947344284086,0.455528104969,0,0,0.631094903018,1,10.1287002823367,0.606343333534,0,11.3356645188641,0.698789784431,0,-1.62994734428409,0.276064777589,0,0,0.412276034542,0,0,0.457042184086,0,2.6179801691595,0.454639514578,0,5.69198912276469,0.373662266385,0,1.69198075060328,0.6595317859,0,2.76237007849467,0.334655801633,0,0,0.490046631804,0,0,0.443384242943,0,2.37005265571591,0.206305499915,0,0,0.442239666536,0,0.942983598187102,0.371402480861,1,10.1165749039312,0.422545787931,0,1.17740757777352,0.351269299549,0,1.69198075060328,0.121997562293,0,-1.62994734428409,0.58957929147,0,-0.0449848435629294,0.604516904099,0,5.4144535404611,0.476305893772,0,0,0.320677737503,1,5.85958696472149,0.669102541523,0,0,0.756079033305,0,-0.629947344284086,0.832765763872,0,7.97923939797397,0.683433302937,0
0,7.41259440310755,0.860310054123,0,1.4324784287616,0.478447016924,0,6.84184609782032,0.661899996218,0,4.43245170303073,0.434145304148,0,0,0.484560286525,1,1.23982571494662,0.809414747295,0,5.2779438455719,0.0660362110439,1,0,0.492236871001,0,0,0.517213468404,0,1.89188575130039,0.323663648891,0,0,0.679138037269,0,3.13288936532587,0.366792309318,0,0,0.62702860594,0,4.45482074956536,0.405116582364,0,2.15052718307791,0.563059497835,0,7.37789852100559,0.643227476511,0,0.017351841787775,0.639257495236,0,0,0.414289173816,0,3.38664542703028,0.528136876931,0,6.29583504208198,0.764002879975,0,-0.567468121261884,0.452098549566,0,0,0.503347826696,0,3.68038062310408,0.586433739889,0,0,0.391832065882,0,0,0.270303992159,0,13.9178750887797,0.673368474578,0,9.77508479059368,0.59233676415,0,0.432424976804764,0.659564352033,0,-1.56746812126188,0.827781727837,0,-1.56746812126188,0.693282638132,0,0,0.612419621665,0,-1.56746812126188,0.458568141687,0,2.95601946907136,0.419424462521,1,0,0.498053567187,0,0,0.698021287053,0,3.64190434633576,0.889831180801,0,0,0.509817832255,0,1.60236185663085,0.698406598647,0,9.55657579282633,0.788677737658,0,11.6272113851135,0.675634441304,0,1.4324784287616,0.344131205167,0,1.01742311238386,0.640617489672,0,0,0.579388868119,0,2.13290581201151,0.653475464651,0,0,0.485210885325,0,2.13290581201151,0.774752678272,0,3.01742311238386,0.459829416943,0,0,0.544384482815,0,0,0.533952088857,0,3.01742311238386,0.367505929398,0,-0.334971132362961,0.543356950038,0,0,0.499469902913,0,4.36319210750592,0.473414048726,0,2.82476785314329,0.542628100604,0,-0.567468121261884,0.380117870155,0,-1.56746812126188,0.7124508064,0,2.13290581201151,0.797052994432,0,2.95601946907136,0.600202855339,0,0.432424976804764,0.513932986507,0,6.15948993061448,0.806189054098,0,-1.56746812126188,0.852436429019,0,0,0.824560947134,0,0,0.463518352045,0
0,7.53921698312235,0.863197654879,0,0.329755085744747,0.410315280445,0,6.50635281029429,0.593245975047,0,3.95425215556565,0.429849566552,0,0,0.455896557243,0,-1.25532221068293,0.78387400853,1,11.5581818069159,0.0872363233672,0,0,0.464400280181,0,0,0.559132938641,0,11.4415516915071,0.38363353592,0,0.329755085744747,0.614049082295,0,1.74480693384467,0.276994777554,0,-1.25532221068293,0.660183260236,0,0,0.459990629425,0,1.57060865043841,0.49439468298,0,5.81089034195888,0.618749306105,0,-1.25532221068293,0.585245879465,0,0,0.356281341252,0,-1.25532221068293,0.512682695456,0,12.8150020561136,0.834648660881,0,1.32975508574475,0.409833469194,0,0,0.399533442327,0,1.06674363795618,0.675369586577,0,0,0.375909443924,0,0,0.184743753707,0,13.1637740354964,0.730225292141,0,8.27032242785712,0.605323324037,0,4.9736204587814,0.680621265184,0,-1.25532221068293,0.821553066742,0,0,0.811651506288,0,0,0.660030709888,0,-0.255150020548343,0.4643914654,0,4.20423463918128,0.334326318456,0,-0.255150020548343,0.56055546692,0,0,0.739864957238,0,-0.255150020548343,0.885594686801,0,0,0.526631337222,0,0,0.724726967912,0,2.65168318063211,0.741451768615,0,9.47781674195822,0.659087938544,0,3.06672641945651,0.344874999101,0,1.06674363795618,0.697759880643,0,1.55218030417682,0.638638827898,0,3.91472715236248,0.688375120502,0,0,0.517987072718,0,5.29939120612683,0.773953071235,0,-1.25532221068293,0.461125905973,0,0,0.588355054487,0,0,0.472046271839,0,-0.255150020548343,0.367840788934,0,0,0.516720158045,0,0,0.48152985578,0,0,0.53566491521,0,-1.25532221068293,0.516785631737,0,-0.255150020548343,0.39919367084,0,0,0.784278894519,0,5.15419432499279,0.840307992536,0,3.60277753846089,0.624914371867,0,6.91472595662888,0.457570557025,0,6.67719390458981,0.803212741147,0,0,0.863385278929,0,0,0.829780914084,0,4.52616273406864,0.42878360708,0
0,4.82711274397932,0.806985596724,0,4.50517956668337,0.495141543211,0,5.34168337560702,0.482803408185,0,6.20562123959912,0.387997229581,1,0,0.520561869961,0,0,0.710266185659,1,8.90362039004293,0.118519594081,0,0.697862762253706,0.353250138907,0,-1.30222618044481,0.452639087544,0,7.27525573446859,0.291530648477,0,-0.302226180444814,0.578069686923,0,0,0.264828223544,0,0.282736320276342,0.570781897035,0,2.50517956668337,0.371669628268,0,0,0.510928242999,0,1.01977306904003,0.548588568134,0,0,0.569763398279,0,-1.30222618044481,0.370852828554,0,0,0.494020935991,0,9.19873870743749,0.76600173221,0,0,0.392711943087,0,0,0.441095384661,0,0,0.550531307793,0,0,0.353380086402,0,0,0.446054105588,0,16.253285100209,0.59617111905,0,2.69781829158986,0.562378951546,0,7.29401689601177,0.576898582707,0,0.697862762253706,0.785010987374,1,-1.30222618044481,0.654976978182,0,-1.30222618044481,0.497568909878,0,-0.302226180444814,0.405445683136,0,0,0.372096009129,0,0.282736320276342,0.41103229526,0,-0.302226180444814,0.600840777189,0,4.74222184423398,0.834113222458,0,0,0.650024714768,0,0,0.638738235054,1,5.79586043737535,0.584725743833,0,7.73400096779939,0.627055005039,0,-0.302226180444814,0.27552063102,0,-1.30222618044481,0.484630111032,0,-1.30222618044481,0.508763353461,0,0.697862762253706,0.543926413568,0,-0.302226180444814,0.404186962849,0,4.2213899152991,0.720253680184,0,0,0.43271269598,0,-0.302226180444814,0.585954024279,0,2.78529944445603,0.45377900864,0,3.55580388719451,0.403003851753,0,0,0.510278741273,0,0,0.474212812815,0,2.01977306904003,0.404353151216,0,1.86773835176269,0.451603467339,1,0,0.421170962369,0,-1.30222618044481,0.645557297296,0,1.28279561601795,0.796351786204,0,2.8677581167391,0.532621473466,0,0,0.39454601096,0,5.49911558699309,0.724361507972,0,-1.30222618044481,0.789930975447,0,0,0.710375789671,0,-0.302226180444814,0.509582603737,1
1,10.009910335122,0.85802545172,0,4.97577232123891,0.653828485187,0,9.80570099365064,0.271677289173,0,-1.29088585152879,0.28344970296,0,4.13524754980957,0.28822249762,1,-1.29088585152879,0.388370441062,0,9.52676897343967,0.135280100778,1,0,0.243279963074,0,0,0.421301586807,0,3.03091868943477,0.255870961427,0,1.5163177785555,0.483279155101,1,4.43690805171415,0.167442856018,1,5.51633984295646,0.522586990279,1,-1.29088585152879,0.3152333352,0,6.44707826564511,0.298094624933,1,0,0.422403061117,0,1.29395897902869,0.441897892602,0,2.29395897902869,0.263297145371,0,8.00590183435456,0.384269768321,1,10.8525189758974,0.768833686833,1,0.709025896748234,0.31974345717,0,0,0.307699367457,0,0.709025896748234,0.500440575248,0,-0.291062360373556,0.364690196429,0,0,0.0905734152019,0,9.50988582438094,0.487700068305,0,11.8688572330438,0.459401703451,0,0,0.341683672696,0,2.40941809249465,0.705101186299,0,0,0.568291399186,0,0,0.356364892234,0,7.34198130104622,0.270062885716,0,4.10130549570735,0.348655493861,1,4.97577232123891,0.349032443121,0,-0.291062360373556,0.396937982752,0,-1.29088585152879,0.90107761602,0,-1.29088585152879,0.339891837016,0,0.293958979028694,0.494189503896,1,8.76019499369314,0.487359758751,0,12.3003913729935,0.530311734181,0,1.70898176886223,0.215391071504,0,0,0.464080403249,0,0,0.387611510414,0,0,0.42649510389,0,6.26357531505998,0.406628745066,1,6.27122769534579,0.770194790292,0,2.51634299498619,0.42266146375,0,-1.29088585152879,0.601801011839,0,0,0.423209867237,0,1.03090103801042,0.447922673922,1,0,0.494091556866,0,-0.291062360373556,0.414789512421,1,8.02186888721236,0.41731544765,1,0.293958979028694,0.357852655115,0,2.40941809249465,0.148857552896,0,-1.29088585152879,0.51473783593,1,0,0.6345485702,0,0.293958979028694,0.477513025399,0,8.28073876142895,0.257481691925,1,3.54238188093655,0.60975768736,1,-1.29088585152879,0.751749939633,0,0,0.510890343218,0,0,0.579748318922,0
1,8.41177026849007,0.855493389073,0,1.35106289894039,0.622819876637,0,-0.648823997297188,0.470827935998,0,2.15843397922123,0.381016151038,0,0,0.539907907022,0,0.351062898940385,0.743532758436,1,8.73693696540244,0.137086652792,0,0,0.403064212208,0,0,0.569022176296,0,8.45698310831196,0.411090728214,0,0,0.616162080338,0,1.35106289894039,0.309632102431,1,0,0.656676802506,0,4.87463469045918,0.475278186315,0,-0.63464340296952,0.512306217882,0,6.10596296862646,0.6395235497,0,6.53098368975574,0.671828427653,0,1.67301361528961,0.420065239013,0,0,0.57205762331,0,5.02349932990809,0.785330214213,0,5.20905559486838,0.449518751219,0,1.35106289894039,0.394902717161,0,0,0.622511788931,0,-0.648823997297188,0.477963031688,0,0,0.159417363822,0,10.2572133886274,0.631973926,0,0,0.50271832394,0,-0.648823997297188,0.675118931233,0,-0.648823997297188,0.804145081207,0,0,0.75663233721,0,0,0.537141080052,0,-0.648823997297188,0.423452271588,0,0.936063101900921,0.427415550421,0,-0.648823997297188,0.503842999126,0,0,0.673238499501,0,0,0.875795278417,0,0,0.682474682147,0,1.35106289894039,0.685817012614,0,5.61785972216192,0.825905008808,0,4.39546730082547,0.736291556502,0,10.4104189143515,0.32293566644,0,1.67301361528961,0.526508505044,0,5.10596296862646,0.487266034647,0,9.03582292634033,0.58971060572,0,0,0.387308976521,0,10.5990019463973,0.794624161493,0,0,0.468907923177,0,0,0.661297644202,0,0,0.492812159273,0,2.15843397922123,0.477512266013,0,0,0.596708471525,0,0,0.561744922835,1,4.63647381840686,0.52448649499,0,-0.648823997297188,0.469867390205,0,-0.648823997297188,0.481291025908,0,0,0.697612112948,0,4.39546730082547,0.831816758262,0,0.351062898940385,0.603168460708,0,0,0.505565203572,0,11.0293444504357,0.815453178714,0,0,0.827069409337,0,0,0.818248501787,0,-0.648823997297188,0.622738198547,0
0,10.9482178435847,0.799327776038,0,0.582266953350512,0.589693820495,0,5.76548170512909,0.40654331247,0,0,0.379527754392,0,0.582266953350512,0.496053964408,0,0,0.717426849873,1,10.8098759048545,0.12150664841,0,4.16722142408761,0.333977673695,0,0.582266953350512,0.45665027938,0,10.6280196863106,0.361516748535,0,0,0.698297670515,0,2.69772934614958,0.161468359505,1,0,0.56071930902,0,-0.00274372794542711,0.306378867849,0,0,0.377985926664,0,0,0.403614021588,0,3.58225490835766,0.671153019526,0,0,0.306687343156,0,3.16722945407167,0.558891705148,0,4.20675260962509,0.532431458568,0,3.38960810969379,0.358408977362,0,1.80463184312697,0.440328594582,0,9.05799334680521,0.636180464371,0,0,0.503559176893,0,0,0.0477277199348,0,8.03621648056924,0.817994501758,0,5.84278780028577,0.41594594486,0,-1.00259919104796,0.619164186957,0,0,0.786535977684,0,0,0.821488499855,0,2.99729240763651,0.727612435262,0,-1.00259919104796,0.374382848808,0,8.99306461954706,0.261805171931,0,1.31921327547989,0.405948715379,0,0,0.472046524248,0,0.582266953350512,0.869250660824,0,0,0.464671223271,0,0,0.723753469169,0,0.582266953350512,0.581897437973,0,4.61200446410488,0.688098150071,0,7.09005418125782,0.292998054697,0,0.997328542313368,0.41657993077,0,3.64115293362024,0.619830598839,0,7.84904661120467,0.685659645725,0,1.31921327547989,0.368471206375,0,7.71497423808743,0.817098362577,0,2.45672731128183,0.303512200917,0,0,0.576843149954,0,0,0.467252819103,0,3.90418541225164,0.298315686055,0,4.14786022273159,0.539021887557,1,2.0381903265976,0.503523154223,0,6.17720623259166,0.421417621668,0,-1.00259919104796,0.441768855564,0,0,0.0749858222967,0,0,0.749573546833,0,0.997328542313368,0.751750942343,0,2.16722945407167,0.64063485167,0,4.08476162566029,0.31458538791,1,7.57879911503084,0.792204869821,0,0,0.883654361542,0,0,0.727579925907,0,6.07411362569652,0.674755625338,1
0,8.83995455013772,0.863659766463,0,0,0.452038685344,0,6.47310988078176,0.70333315809,0,5.02901108665907,0.419456197236,0,-0.397258086717609,0.411612476589,0,2.50964517572183,0.872932898662,0,5.94259426188484,0.107448977754,0,2.7726669147247,0.428466031157,0,0,0.536487958897,0,5.44823361642841,0.309109519232,0,-0.397258086717609,0.730907754167,0,11.0381544463656,0.209341166347,0,1.60274191328239,0.653503577855,0,0,0.359078672866,0,4.9732576754803,0.481237807295,0,1.18770441400355,0.638057162156,0,-0.397258086717609,0.638542431109,0,0.602741913282391,0.357240751308,0,3.1263121303287,0.536466575572,0,6.8894869277975,0.782842179819,0,0.924708008328871,0.438939514487,0,0.187767747046025,0.348891701063,0,0.924708008328871,0.623397595548,0,-0.397258086717609,0.415410816381,0,0.602741913282391,0.0733122884427,0,6.75756335572184,0.709887450132,0,8.4914879681338,0.631483480603,0,1.77268802604778,0.632121193083,0,1.77268802604778,0.839689194276,0,2.7726669147247,0.837614805681,0,0.602741913282391,0.64304864624,0,-1.39706809593036,0.439717777465,0,9.26630282888974,0.308870316299,1,1.18770441400355,0.530819453521,0,1.77268802604778,0.771079622957,0,0.924708008328871,0.907386442246,0,0.187767747046025,0.507801903726,0,0.924708008328871,0.660716936211,0,7.31355152125769,0.780863802061,0,9.55984663094498,0.717818877367,0,4.0945992319014,0.335226389061,0,0,0.650652189519,0,0,0.566562946413,0,-1.39706809593036,0.675432263705,0,3.96029855211981,0.468096409239,0,4.30318163142348,0.798879138781,0,2.41009683534,0.336978257672,0,0.602741913282391,0.512816619192,0,0,0.559641296775,0,1.77268802604778,0.237976801577,0,0.294311960731117,0.526696673379,0,-1.39706809593036,0.470885071079,0,5.66883393960749,0.475466801308,0,5.15733480757772,0.577668826286,0,5.47310825682469,0.237959396619,0,-1.39706809593036,0.706124199855,0,3.60274191328239,0.814076846958,0,2.60274191328239,0.608607908434,0,5.76261723613845,0.498335346506,0,7.64522465813295,0.849447207056,0,-0.397258086717609,0.845032819509,0,0,0.85744659896,0,0,0.434319258113,0
