ABCG8_S,ABCG8_E,ABCG8_M,AFP_S,AFP_E,AFP_M,BFSP2_S,BFSP2_E,BFSP2_M,C16orf11_S,C16orf11_E,C16orf11_M,CHIA_S,CHIA_E,CHIA_M,DDX4_S,DDX4_E,DDX4_M,DEFB119_S,DEFB119_E,DEFB119_M,FLG2_S,FLG2_E,FLG2_M,HOXA7_S,HOXA7_E,HOXA7_M,IL31RA_S,IL31RA_E,IL31RA_M,KERA_S,KERA_E,KERA_M,KRT33B_S,KRT33B_E,KRT33B_M,MMP1_S,MMP1_E,MMP1_M,MUC16_S,MUC16_E,MUC16_M,NPSR1_S,NPSR1_E,NPSR1_M,OPN5_S,OPN5_E,OPN5_M,ROS1_S,ROS1_E,ROS1_M,RPL10L_S,RPL10L_E,RPL10L_M,SLC26A3_S,SLC26A3_E,SLC26A3_M,SLC6A18_S,SLC6A18_E,SLC6A18_M,TMPRSS11F_S,TMPRSS11F_E,TMPRSS11F_M,TNNT3_S,TNNT3_E,TNNT3_M,VIL1_S,VIL1_E,VIL1_M,XDH_S,XDH_E,XDH_M,Tumor_Status
0,0,0.894030957019,0,0,0.939791163298,0,1.33187716036905,0.873478111369,0,-1.25291341697218,0.792956100586,0,1.7469146596479,0.914284899064,0,-0.253085340352102,0.926237260305,0,4.91684443701631,0.196989882734,0,-0.253085340352102,0.939703683317,0,0,0.179210732049,0,0,0.900821098261,0,0,0.898171420181,0,0,0.905546379404,0,0,0.908040989319,0,0,0.788063096893,0,0,0.85376049383,0,0,0.576259804113,0,0,0.870368856311,0,0,0.927203477524,0,0,0.953845705713,0,0,0.837293087754,0,0,0.9256081054,0,0,0.880620077949,0,0,0.900393305972,0,0,0.903927020601,1
0,-0.535122661908458,0.733018475069,0,-1.53491362111393,0.938995195605,0,-1.53491362111393,0.736612000634,0,0,0.655757400513,0,-1.53491362111393,0.919883719112,0,-1.53491362111393,0.9121322198,0,0,0.517443486274,0,0,0.426878150198,0,6.97665576564868,0.305552572239,0,-1.53491362111393,0.672575700135,0,-1.53491362111393,0.814818174131,0,0,0.652203512268,0,0,0.865931728992,0,-1.53491362111393,0.79812493113,0,-1.53491362111393,0.732252040567,0,0,0.543391543028,0,0,0.849069107496,0,0,0.873831725435,0,0,0.797514209822,0,0,0.633406701243,0,0.786847243561014,0.874555239831,0,0,0.69787724076,0,0.786847243561014,0.718099096559,0,0,0.839296764108,1
0,0,0.863571632488,0,0,0.938962885113,0,0,0.854012009056,0,0,0.791557981214,0,2.05387593600288,0.921962162855,0,0,0.942269439725,0,3.22382410080372,0.220561424059,0,0,0.926511287771,0,-1.53115605702536,0.273484982856,0,0,0.849619184277,0,0,0.891848147344,0,0,0.87739152833,0,-1.53115605702536,0.941788728702,0,0,0.778479736023,0,0,0.811087293455,0,0,0.524776297686,0,0,0.928276046844,0,0,0.854463875497,0,-1.53115605702536,0.939217201196,0,0,0.829011535283,0,-1.53115605702536,0.890965282673,0,0,0.861450983354,0,0,0.875149179929,0,0.468948180180051,0.893774216655,1
0,-1.61661365380098,0.868117431821,0,0,0.941915111508,0,0,0.873351172341,0,0,0.744383637885,0,-1.61661365380098,0.925182067413,0,-0.0317986302116598,0.934535530963,0,0,0.0984581304185,0,0,0.607610719542,0,0.96820136978834,0.346331134911,0,-0.61683487515247,0.834074768973,0,0,0.876863066514,0,0,0.81671633506,0,0,0.9153741787,0,0,0.59668478445,0,-1.61661365380098,0.805085604948,0,0,0.513694691427,0,0,0.92829474923,0,0,0.887908865433,0,0,0.736055683314,0,0,0.735368088888,0,0,0.882033148327,0,0,0.83741776876,0,0,0.862262218664,0,0,0.85340953501,1
0,0,0.896868453454,0,0,0.947470970577,0,0,0.843446562348,0,0,0.765657875756,0,0.0124971626829022,0.906956062825,0,0,0.948672321993,0,0,0.560912125572,0,0,0.934440412693,0,1.0124971626829,0.249003900635,0,0,0.910074281171,0,0,0.903469560411,0,0,0.9078558792,0,0.0124971626829022,0.95207718107,0,0,0.895254772504,0,0,0.853598028489,0,0,0.591025519267,0,0,0.893440944949,0,0,0.905268392062,0,0.597507337678004,0.943743675607,0,0,0.878549321673,0,0,0.903106599565,0,0,0.857811947706,0,0,0.883363898606,0,0,0.90470698341,1
0,0.131457785479088,0.852998438318,0,0,0.932239528579,0,-0.453438864314751,0.896604632352,0,0,0.754058921372,0,0,0.911469788483,0,-1.45363642611456,0.899319222661,0,0,0.17835601523,0,0,0.581221337978,0,-1.45363642611456,0.458888385469,0,-0.453438864314751,0.81204997375,0,0,0.900821985395,0,-1.45363642611456,0.834884766558,0,0.868449720376909,0.930323225995,0,0,0.714716037789,0,0,0.824741571417,0,-1.45363642611456,0.578269043935,0,0.868449720376909,0.848569823421,0,0,0.864676228718,0,-1.45363642611456,0.862743646175,0,1.13145778547909,0.816736988412,0,1.35383139171279,0.898739862202,0,-0.453438864314751,0.841030816454,0,0,0.85570620995,0,0,0.920389468873,1
0,-1.30935942138431,0.873503852599,0,0,0.93886831603,0,0,0.82960102232,0,1.27548389266729,0.744553903446,0,0,0.931272690925,0,-0.309538205081281,0.926459141775,0,-1.30935942138431,0.548697762633,0,0,0.901599291998,0,-1.30935942138431,0.333866903267,0,0,0.885165735091,0,0.690551189536642,0.906837483242,0,0,0.884510727827,0,0,0.941458623206,0,0,0.756135825399,0,-1.30935942138431,0.779485759838,0,0,0.489540883544,0,1.69055118953664,0.907944182759,0,0,0.902520751911,0,0.690551189536642,0.87152249561,0,0,0.794439716149,0,-1.30935942138431,0.902053344046,0,0,0.815589567435,0,0.275483892667288,0.858919540543,0,-1.30935942138431,0.868769786286,0
0,-1.5794906495111,0.891597593223,0,0,0.954299218849,0,0,0.90879835328,0,0,0.802817250045,0,0,0.915264454111,0,0,0.952291259173,0,0,0.609377021661,0,0,0.822276286219,0,0,0.27858351443,0,0,0.930909051837,0,0,0.932095164,0,0,0.917817726376,0,0,0.948027350712,0,-0.579706250653378,0.934268392248,0,0,0.874647583253,0,-1.5794906495111,0.560034692142,0,0,0.936904234181,0,-1.5794906495111,0.913253997629,0,0,0.957028776141,0,-0.579706250653378,0.900169568746,0,0,0.914227852633,0,0,0.898866140049,0,0,0.885895603757,0,0,0.917317904581,1
0,0.888538700417797,0.769335685383,0,0,0.713324429278,0,-1.43323354537782,0.797332636962,0,0,0.696238391734,0,-1.43323354537782,0.911180672123,0,-1.43323354537782,0.938247703451,0,0,0.363447541986,0,0,0.29713529714,0,10.0237471467356,0.203589351298,0,0,0.729242464349,0,0,0.565885672037,0,0,0.789105972109,0,0,0.783953685818,0,0,0.726866465325,0,-1.43323354537782,0.624991437512,0,0,0.483932695786,0,2.15156661217406,0.866011339193,0,0,0.836193621825,0,-1.43323354537782,0.78411414108,0,0,0.639254712422,0,0,0.816713978903,0,0,0.701918060178,0,0,0.724945170482,0,-0.433428359373239,0.863959139936,1
0,0,0.847417432111,0,0,0.941574033085,0,-0.704864750999182,0.796867794204,0,-1.70462961204652,0.747017054056,0,0,0.912875467907,0,0,0.920246580231,0,0,0.323552752109,0,0,0.806466463578,0,-0.119823866368801,0.34985916173,0,-1.70462961204652,0.830513232622,0,-1.70462961204652,0.810203089522,0,0,0.860562935535,0,5.69611904161923,0.939507723233,0,0,0.76932402935,0,-0.119823866368801,0.802451958799,0,-1.70462961204652,0.529216731268,0,0.880176133631199,0.899251306949,0,0,0.892433444267,0,0,0.89381308826,0,0,0.868735821916,0,0.880176133631199,0.892381382668,0,0,0.826698870356,0,0,0.798445364634,0,0,0.875757541482,1
